"site1","site2","jaccard.dissimilarity","env","clim","spatial.site","horn.dissimilarity","range.1","range.2","comp.range"
"M4","A2",0.994656489,3.76379091,2.528564243,101.2952153,0.998112062,"MogollonRim","Flagstaff","Different"
"M5","A2",0.938189845,3.061659787,2.527157144,101.6807204,0.694940585,"MogollonRim","Flagstaff","Different"
"M6","A2",1,3.055423528,2.455807172,100.7172589,1,"MogollonRim","Flagstaff","Different"
"M7","A2",0.939341421,1.221372831,0.969443998,35.4530447,0.821883854,"MogollonRim","Flagstaff","Different"
"M8","A2",0.940512821,1.141943024,0.891620106,34.82856575,0.937150585,"MogollonRim","Flagstaff","Different"
"M9","A2",0.971922246,1.082560994,0.833334981,34.38834793,0.971218366,"MogollonRim","Flagstaff","Different"
"N1","A2",0.970760234,1.460352072,1.740645706,76.29504537,0.968805411,"Mingus","Flagstaff","Different"
"N2","A2",1,1.410020664,1.696136164,76.91560084,1,"Mingus","Flagstaff","Different"
"N3","A2",0.985126859,1.435433926,1.722865671,76.77123413,0.993440339,"Mingus","Flagstaff","Different"
"P1","A2",0.971008403,3.527693331,3.327729995,342.8211235,0.95254663,"Pinaleno","Flagstaff","Different"
"P2","A2",0.975587703,3.521372268,3.426581796,343.6500713,0.983446359,"Pinaleno","Flagstaff","Different"
"P3","A2",0.966927763,2.779372184,3.377584259,343.2249334,0.981063999,"Pinaleno","Flagstaff","Different"
"Sunset Trail","A2",1,3.560910162,4.219201767,330.2637678,1,"MtLemmon","Flagstaff","Different"
"Upper Solders Camp Rd.","A2",0.998302207,4.314140152,4.255007244,330.4742021,0.999862461,"MtLemmon","Flagstaff","Different"
"A1","A3",1,0.008732424,0.003719483,1.986395629,1,"Flagstaff","Flagstaff","Same"
"A2","A3",0.96827262,0.046964741,0.004226515,0.889596292,0.887118428,"Flagstaff","Flagstaff","Same"
"A3","A3",0,0,0,0,0,"Flagstaff","Flagstaff","Same"
"B1","A3",0.991686461,2.803909064,2.144335864,118.1335994,0.998259758,"Bradshaw","Flagstaff","Different"
"B2","A3",0.943620178,2.77057595,2.138993772,118.6512229,0.80623544,"Bradshaw","Flagstaff","Different"
"B3","A3",0.990920882,2.817233796,2.138538044,117.7357563,0.996363032,"Bradshaw","Flagstaff","Different"
"Butterfly trail","A3",1,4.402814091,4.243371166,329.8233026,1,"MtLemmon","Flagstaff","Different"
"C1","A3",1,3.16096939,3.404528879,437.2683896,1,"Chiricahuas","Flagstaff","Different"
"C2","A3",1,3.082978019,3.397433499,437.5305561,1,"Chiricahuas","Flagstaff","Different"
"C3","A3",0.993133583,3.663729869,3.391241089,437.6944691,0.998395234,"Chiricahuas","Flagstaff","Different"
"H1","A3",1,5.66486352,5.074767718,444.1065884,1,"Huachuas","Flagstaff","Different"
"H2","A3",1,5.625450326,5.064196502,444.1937864,1,"Huachuas","Flagstaff","Different"
"H3","A3",0.992063492,5.544733897,5.042249838,444.3529138,0.998321059,"Huachuas","Flagstaff","Different"
"H4","A3",0.992374728,2.313995406,1.296464546,200.4632944,0.981077708,"Hualapai","Flagstaff","Different"
"H5","A3",1,3.449819864,1.234538973,200.8221722,1,"Hualapai","Flagstaff","Different"
"H6","A3",1,3.868082087,1.404709224,199.7968865,1,"Hualapai","Flagstaff","Different"
"M1","A3",0.998321584,1.388964654,1.547846036,91.79009934,0.995072976,"MogollonRim","Flagstaff","Different"
"M2","A3",0.960435213,1.384658302,1.556150571,92.44775273,0.909669496,"MogollonRim","Flagstaff","Different"
"M3","A3",0.971914894,1.388564995,1.562053253,92.90653948,0.939046293,"MogollonRim","Flagstaff","Different"
"M4","A3",0.961051607,3.810755651,2.524337728,101.1231043,0.908492698,"MogollonRim","Flagstaff","Different"
"M5","A3",0.971098266,3.108624528,2.522930629,101.5078987,0.961821028,"MogollonRim","Flagstaff","Different"
"M6","A3",1,3.10238827,2.451580657,100.5387932,1,"MogollonRim","Flagstaff","Different"
"M7","A3",0.829326923,1.268337572,0.965217483,36.18335287,0.583649709,"MogollonRim","Flagstaff","Different"
