Query sequence,Sample name,Otu.95,Most common phylum-level assignment,Phylum-level assignment,Most common class-level assignment,Class-level assignment,Most common order-level assignment,Order-level assignment,Most common family-level assignment,Family-level assignment,Most common Genus-level assignment,Genus-level assignment,Taxon assignment,Likelihood weight,otu,otu_references
B11_Otu1067,B11,Otu1067,Ascomycota,Ascomycota,Lichinomycetes,Lichinomycetes,Lichinales,Lichinales,Peltulaceae,Peltulaceae,Peltula,Peltula,Peltula_umbilicata,"0.053013, 0.046364, 0.046145, 0.040028, 0.037026, 0.031708, 0.031071, 0.030565, 0.030441, 0.024129, 0.023954",OTU1067,
B11_Otu1073,B11,Otu1073,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,unclassified,unclassified,unclassified,unclassified,Cryomyces,Cryomyces,"Cryomyces_sp_montanus,Cryomyces_antarcticus","0.050946, 0.049117, 0.041553, 0.037431, 0.037403, 0.028996, 0.028985, 0.028901, 0.028530, 0.023271, 0.022622",OTU702,
B11_Otu1083,B11,Otu1083,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.708654, 0.095573, 0.035488, 0.018428, 0.011439, 0.010866, 0.009718, 0.009693, 0.008507, 0.007805, 0.007078",OTU426,
B11_Otu1097,B11,Otu1097,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,"Dothideales,unclassified",Dothideaceae,"Dothideaceae,Dothioraceae,unclassified",Dothidea,"Dothidea,Dothiora,unclassified,Delphinella,Sydowia,Neocylindroseptoria,Stylodothis","Dothideomycetes_sp_TRN11,Delphinella_strobiligena,Sydowia_polyspora,Dothiora_ceratoniae,Neocylindroseptoria_pistaciae,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci,Dothidea_hippophaeos,Dothidea_insculpta,Dothiora_cannabinae","0.032104, 0.031584, 0.023753, 0.022928, 0.022921, 0.022921, 0.022921, 0.022921, 0.022921, 0.022916, 0.022916",OTU1041,
B11_Otu115,B11,Otu115,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,"Xylariales,Lulworthiales",Lulworthiaceae,"Lulworthiaceae,Diatrypaceae,Xylariaceae,-",Lindra,"Lindra,Cryptosphaeria,Lulwoana,Lulwoidea,Eutypa,Diatrype,Lulworthia,Anthostomella,Diatrypasimilis","Lindra_obtusa,Lulwoana_uniseptata,Lindra_thalassiae,Lulwoidea_lignoarenaria,Eutypa_lata,Diatrype_disciformis,Lulworthia_grandispora,Cryptosphaeria_ligniota,Anthostomella_torosa,Cryptosphaeria_subcutanea,Diatrypasimilis_australiensis","0.071904, 0.070316, 0.070109, 0.054293, 0.053664, 0.053650, 0.049198, 0.049198, 0.044031, 0.044031, 0.039317",OTU162,
B11_Otu1157,B11,Otu1157,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,unclassified,unclassified,unclassified,unclassified,Cryomyces,Cryomyces,"Cryomyces_sp_montanus,Cryomyces_antarcticus","0.077307, 0.071930, 0.049864, 0.049734, 0.049144, 0.041383, 0.035042, 0.034028, 0.030818, 0.023508, 0.023490",OTU319,
B11_Otu1200,B11,Otu1200,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Phaeomoniellales,Phaeomoniellales,unclassified,unclassified,Celerioriella,"Celerioriella,Dolabra,Neophaeomoniella,Minutiella,Aequabiliella","Dolabra_nepheliae,Neophaeomoniella_zymoides,Minutiella_tardicola,Celerioriella_prunicola,Aequabiliella_effusa,Celerioriella_dura","0.809689, 0.056822, 0.026010, 0.023736, 0.022905, 0.022398",OTU136,
B11_Otu1212,B11,Otu1212,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Didymellaceae,Didymellaceae,Didymella,Didymella,Didymella_boeremae,"0.129494, 0.093688, 0.093548, 0.093276, 0.047856, 0.027888, 0.027835, 0.027814, 0.027814, 0.027814, 0.027810",OTU1049,
B11_Otu124,B11,Otu124,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,Dothideales,Aureobasidiaceae,Aureobasidiaceae,Aureobasidium,Aureobasidium,"Aureobasidium_melanogenum,Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae","0.540936, 0.151888, 0.149868, 0.061739, 0.055715",OTU352,
B11_Otu134,B11,Otu134,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Chaetothyriales,Chaetothyriales,unclassified,"unclassified,Trichomeriaceae",Neophaeococcomyces,"Neophaeococcomyces,Knufia,unclassified","Neophaeococcomyces_catenatus,Knufia_petricola,Chaetothyriales_sp_TRN4","0.273286, 0.252000, 0.241430, 0.063301, 0.043106, 0.031907, 0.031328, 0.008533, 0.006744",OTU468,
B11_Otu146,B11,Otu146,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,Dothideales,Aureobasidiaceae,Aureobasidiaceae,Aureobasidium,Aureobasidium,"Aureobasidium_melanogenum,Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae","0.284307, 0.201616, 0.199205, 0.189023, 0.120361",OTU389,
B11_Otu167,B11,Otu167,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Glomerellales,Glomerellales,Glomerellaceae,Glomerellaceae,Colletotrichum,Colletotrichum,Colletotrichum_musae,"0.783341, 0.216659",OTU795,
B11_Otu168,B11,Otu168,Ascomycota,Ascomycota,Taphrinomycetes,Taphrinomycetes,Taphrinales,Taphrinales,Taphrinaceae,"Taphrinaceae,Protomycetaceae",Taphrina,"Taphrina,Protomyces","Protomyces_inouyei,Taphrina_communis,Taphrina_deformans,Taphrina_wiesneri","0.200555, 0.197693, 0.188430, 0.090248, 0.089479, 0.056131, 0.049525, 0.029920, 0.029913, 0.015534, 0.015432",OTU476,
B11_Otu169,B11,Otu169,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Amphisphaeriaceae,"Amphisphaeriaceae,Sporocadaceae",Pestalotiopsis,"Pestalotiopsis,Pseudopestalotiopsis","Pestalotiopsis_vismiae,Pseudopestalotiopsis_theae","0.338319, 0.331393, 0.329527",OTU592,
B11_Otu183,B11,Otu183,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Teratosphaeriaceae,Teratosphaeriaceae,Myrtapenidiella,Myrtapenidiella,"Myrtapenidiella_tenuiramis,Myrtapenidiella_corymbia,Myrtapenidiella_eucalypti","0.822202, 0.040070, 0.037030, 0.036844, 0.013476, 0.009239",OTU566,
B11_Otu208,B11,Otu208,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Pleosporaceae,Pleosporaceae,Curvularia,Curvularia,Curvularia_americana,1,OTU1116,
B11_Otu213,B11,Otu213,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Hypocreales,Hypocreales,Clavicipitaceae,Clavicipitaceae,Moelleriella,Moelleriella,Moelleriella_libera,0.995521,OTU1088,
B11_Otu216,B11,Otu216,Ascomycota,Ascomycota,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,Saitoella,Saitoella,Saitoella_complicata,"0.574734, 0.097782, 0.089717, 0.043650, 0.043208, 0.032378, 0.028017, 0.022482, 0.013129, 0.012864",OTU1005,
B11_Otu22,B11,Otu22,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Hypocreales,Hypocreales,Clavicipitaceae,Clavicipitaceae,Moelleriella,Moelleriella,Moelleriella_libera,"0.253169, 0.154025, 0.150365, 0.138501, 0.034451, 0.033653, 0.033453, 0.026160, 0.026159, 0.013829, 0.010914",OTU935,
B11_Otu228,B11,Otu228,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Saccharomycetaceae,Saccharomycetaceae,Naumovozyma,Naumovozyma,Naumovozyma_castellii,"0.055048, 0.041987, 0.039750, 0.036437, 0.036213, 0.030915, 0.029836, 0.024062, 0.017336, 0.017335, 0.017308",OTU1025,
B11_Otu23,B11,Otu23,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,Dothideales,Aureobasidiaceae,Aureobasidiaceae,Aureobasidium,Aureobasidium,"Aureobasidium_melanogenum,Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae","0.865528, 0.099262",OTU984,
B11_Otu272,B11,Otu272,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Hypocreales,Hypocreales,Clavicipitaceae,Clavicipitaceae,Moelleriella,Moelleriella,Moelleriella_libera,"0.215627, 0.179100, 0.096478, 0.096344, 0.056522, 0.033750, 0.026654, 0.025205, 0.024580, 0.022008, 0.021023",OTU274,
B11_Otu275,B11,Otu275,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Teratosphaeriaceae,Teratosphaeriaceae,Myrtapenidiella,Myrtapenidiella,"Myrtapenidiella_tenuiramis,Myrtapenidiella_corymbia,Myrtapenidiella_eucalypti","0.710885, 0.093457, 0.037298, 0.037164, 0.034649, 0.016768, 0.005037, 0.004902, 0.004790, 0.004420, 0.003909",OTU919,
B11_Otu291,B11,Otu291,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Trypetheliales,"Trypetheliales,Venturiales,Phaeotrichales,unclassified",Trypetheliaceae,"Trypetheliaceae,Sympoventuriaceae,Phaeotrichaceae,Venturiaceae,unclassified",Trypethelium,"Trypethelium,Phaeotrichum,Trichodelitschia,Caproventuria,Laurera,Tyrannosorus,Sympoventuria,Astrothelium,Ochroconis,Verruconis","Phaeotrichum_benjaminii,Trichodelitschia_munkii,Trypethelium_virens,Caproventuria_hanliniana,Laurera_megasperma,Tyrannosorus_pinicola,Trypethelium_nitidiusculum,Sympoventuria_capensis,Astrothelium_cinnamomeum,Ochroconis_phaeophora,Verruconis_gallopava","0.055363, 0.052156, 0.039606, 0.039015, 0.038947, 0.037501, 0.037461, 0.037461, 0.037461, 0.037461, 0.037461",OTU1035,
B11_Otu308,B11,Otu308,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Sporormiaceae,Sporormiaceae,Westerdykella,Westerdykella,Westerdykella_cylindrica,"0.377745, 0.310948, 0.310723",OTU948,
B11_Otu346,B11,Otu346,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Anthostomella,Anthostomella,Anthostomella_sepelibilis,0.998984,OTU366,
B11_Otu372,B11,Otu372,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Sporocadaceae,Sporocadaceae,Pseudopestalotiopsis,Pseudopestalotiopsis,Pseudopestalotiopsis_theae,"0.424731, 0.309191, 0.266071",OTU53,
B11_Otu416,B11,Otu416,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Rhytismatales,Rhytismatales,Rhytismataceae,Rhytismataceae,Meloderma,"Meloderma,Lophodermium","Meloderma_desmazieresii,Lophodermium_pinastri","0.512368, 0.193519, 0.187373, 0.048981, 0.043890",OTU569,
B11_Otu451,B11,Otu451,Ascomycota,Ascomycota,Taphrinomycetes,Taphrinomycetes,Taphrinales,Taphrinales,Taphrinaceae,"Taphrinaceae,Protomycetaceae",Taphrina,"Taphrina,Protomyces","Protomyces_inouyei,Taphrina_communis,Taphrina_deformans,Taphrina_wiesneri","0.310098, 0.254196, 0.092877, 0.091975, 0.091004, 0.036673, 0.036579, 0.025783, 0.006813, 0.006810",OTU102,
B11_Otu454,B11,Otu454,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Coniochaetales,Coniochaetales,Coniochaetaceae,Coniochaetaceae,Coniochaeta,Coniochaeta,Coniochaeta_prunicola,1,OTU620,
B11_Otu46,B11,Otu46,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Hypocreales,Hypocreales,Nectriaceae,Nectriaceae,Xenoacremonium,Xenoacremonium,Xenoacremonium_falcatus,"0.316131, 0.313555, 0.313273, 0.030753",OTU704,
B11_Otu467,B11,Otu467,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,Dothideales,Dothideaceae,"Dothideaceae,Dothioraceae",Dothidea,"Dothidea,Dothiora,Delphinella,Sydowia,Neocylindroseptoria,Stylodothis","Delphinella_strobiligena,Sydowia_polyspora,Dothiora_ceratoniae,Neocylindroseptoria_pistaciae,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci,Dothidea_hippophaeos,Dothidea_insculpta,Dothiora_cannabinae","0.381746, 0.206288, 0.163111, 0.110221, 0.100303",OTU858,
B11_Otu469,B11,Otu469,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,"Dothideales,unclassified",Dothideaceae,"Dothideaceae,Dothioraceae,unclassified",Dothidea,"Dothidea,Dothiora,unclassified,Delphinella,Sydowia,Neocylindroseptoria,Stylodothis","Dothideomycetes_sp_TRN11,Delphinella_strobiligena,Sydowia_polyspora,Dothiora_ceratoniae,Neocylindroseptoria_pistaciae,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci,Dothidea_hippophaeos,Dothidea_insculpta,Dothiora_cannabinae","0.079654, 0.058155, 0.058097, 0.037558, 0.037087, 0.035424, 0.035296, 0.035226, 0.021083, 0.020906, 0.020906",OTU357,
B11_Otu504,B11,Otu504,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Glomerellales,Glomerellales,Glomerellaceae,Glomerellaceae,Colletotrichum,Colletotrichum,Colletotrichum_gloeosporioides,0.956949,OTU475,
B11_Otu522,B11,Otu522,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Sporocadaceae,Sporocadaceae,Pseudopestalotiopsis,Pseudopestalotiopsis,Pseudopestalotiopsis_theae,"0.406029, 0.322411, 0.271557",OTU231,
B11_Otu559,B11,Otu559,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Pleurotheciales,"Pleurotheciales,Glomerellales,Calosphaeriales",Pleurotheciaceae,"Pleurotheciaceae,Glomerellaceae,Plectosphaerellaceae,Calosphaeriaceae",Colletotrichum,"Colletotrichum,Pleurothecium,Pleurotheciella,Verticillium,Adelosphaeria,Jattaea,Phaeoisaria,Melanotrigonum","Pleurotheciella_rivularia,Colletotrichum_dematium,Colletotrichum_spaethianum,Verticillium_dahliae,Colletotrichum_circinans,Adelosphaeria_catenata,Pleurothecium_recurvatum,Jattaea_discreta,Pleurothecium_semifecundum,Phaeoisaria_fasciculata,Melanotrigonum_ovale","0.081430, 0.080416, 0.080288, 0.069719, 0.069548, 0.062105, 0.056741, 0.054290, 0.051417, 0.042942, 0.042931",OTU385,
B11_Otu62,B11,Otu62,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Hypocreales,Hypocreales,Nectriaceae,Nectriaceae,Xenoacremonium,"Xenoacremonium,Nectria","Xenoacremonium_falcatus,Nectria_sp1","0.311853, 0.304149, 0.302836, 0.042500",OTU906,
B11_Otu642,B11,Otu642,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.772986, 0.075071, 0.035690, 0.022867, 0.013843, 0.011752, 0.006730, 0.005236, 0.004145, 0.003985",OTU643,
B11_Otu647,B11,Otu647,Ascomycota,Ascomycota,Pneumocystidomycetes,Pneumocystidomycetes,Pneumocystidales,Pneumocystidales,Pneumocystidaceae,Pneumocystidaceae,Pneumocystis,Pneumocystis,Pneumocystis_carinii,"0.060760, 0.046731, 0.042305, 0.033782, 0.027450, 0.027444, 0.027347, 0.027106, 0.026722, 0.025211, 0.023367",OTU454,
B11_Otu665,B11,Otu665,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,Leotiaceae,"Leotiaceae,unclassified",Leotia,"Leotia,Microglossum","Leotia_lubrica,Microglossum_rufum,Leotia_viscosa","0.252794, 0.075648, 0.072624, 0.071870, 0.070068, 0.069344, 0.066791, 0.064154, 0.059474, 0.033560, 0.029429",OTU1085,
B11_Otu673,B11,Otu673,Ascomycota,Ascomycota,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,Saitoella,Saitoella,Saitoella_complicata,"0.074173, 0.068848, 0.064298, 0.040682, 0.035704, 0.023253, 0.021908, 0.021045, 0.020829, 0.020151, 0.020069",OTU745,
B11_Otu69,B11,Otu69,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Eurotiales,Eurotiales,Aspergillaceae,Aspergillaceae,Penicillium,Penicillium,"Penicillium_goetzii,Penicillium_sinaicum,Penicillium_viridicatum,Penicillium_polonicum,Penicillium_freii,Penicillium_biforme,Penicillium_kewense","0.078249, 0.078235, 0.078208, 0.078207, 0.078192, 0.078189, 0.078186, 0.078165, 0.077763, 0.076490, 0.074727",OTU45,
B11_Otu70,B11,Otu70,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.720104, 0.020283, 0.019181, 0.019119, 0.017394, 0.016545, 0.016440, 0.016429, 0.016370, 0.016317, 0.015865",OTU562,
B11_Otu717,B11,Otu717,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,Sclerotiniaceae,Sclerotiniaceae,Monilinia,"Monilinia,Sclerotinia,Botrytis","Monilinia_fructigena,Sclerotinia_sclerotiorum,Monilinia_fructicola,Botrytis_cinerea,Monilinia_laxa","0.853361, 0.019261, 0.019226, 0.018528, 0.014376, 0.008636, 0.008473, 0.008131, 0.007806",OTU839,
B11_Otu74,B11,Otu74,Ascomycota,Ascomycota,Taphrinomycetes,Taphrinomycetes,Taphrinales,Taphrinales,Taphrinaceae,"Taphrinaceae,Protomycetaceae",Taphrina,"Taphrina,Protomyces","Protomyces_inouyei,Taphrina_communis,Taphrina_deformans,Taphrina_wiesneri",0.988599,OTU512,
B11_Otu791,B11,Otu791,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,unclassified,unclassified,Cyclaneusma,Cyclaneusma,Cyclaneusma_minus,"0.242946, 0.183921, 0.129259, 0.121503, 0.064006, 0.054642, 0.054642, 0.054566, 0.021299, 0.019656, 0.018229",OTU410,
B11_Otu90,B11,Otu90,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.507776, 0.244237, 0.034478, 0.017540, 0.015626, 0.015174, 0.014494, 0.012626, 0.012171, 0.011412, 0.007663",OTU537,
B11_Otu941,B11,Otu941,Ascomycota,Ascomycota,Pezizomycetes,Pezizomycetes,Pezizales,Pezizales,Chorioactidaceae,Chorioactidaceae,Pseudosarcosoma,Pseudosarcosoma,Pseudosarcosoma_latahense,"0.360914, 0.102504, 0.095364, 0.089478, 0.088270, 0.058793, 0.022014, 0.020726, 0.014561, 0.013638, 0.012256",OTU837,
B11_Otu955,B11,Otu955,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Hypocreales,Hypocreales,Cordycipitaceae,Cordycipitaceae,Cordyceps,"Cordyceps,Beauveria","Cordyceps_scarabaeicola,Beauveria_caledonica","0.102415, 0.101896, 0.101453, 0.095795, 0.095793, 0.014758, 0.012297, 0.012287, 0.012012, 0.011888, 0.010494",OTU805,
B11_Otu975,B11,Otu975,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,Dothideales,Dothideaceae,"Dothideaceae,Dothioraceae",Dothidea,"Dothidea,Dothiora,Delphinella,Sydowia,Neocylindroseptoria,Stylodothis","Delphinella_strobiligena,Sydowia_polyspora,Dothiora_ceratoniae,Neocylindroseptoria_pistaciae,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci,Dothidea_hippophaeos,Dothidea_insculpta,Dothiora_cannabinae","0.326624, 0.241687, 0.164027, 0.108272, 0.099525, 0.048701",OTU58,
B11_Otu977,B11,Otu977,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Sporormiaceae,Sporormiaceae,Westerdykella,Westerdykella,Westerdykella_cylindrica,"0.209187, 0.181416, 0.051112, 0.051063, 0.048932, 0.048323, 0.047632, 0.047217, 0.034425, 0.033824, 0.033372",OTU1048,
B11c_Otu902,B11c,Otu902,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,-,-,Pseudeurotiaceae,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus,Pseudogymnoascus_pannorum_var._asperulatus,"0.443310, 0.076922, 0.057473, 0.055625, 0.053783, 0.053073, 0.041437, 0.033654, 0.028420, 0.028332, 0.007937",OTU413,
B12_Otu105,B12,Otu105,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Planistromellaceae,"Planistromellaceae,Saccharataceae,Phyllostictaceae,Aplosporellaceae,Septorioideaceae",Kellermania,"Kellermania,Saccharata,Phyllosticta,Aplosporella,Septorioides","Kellermania_confusa,Kellermania_dasylirionicola,Aplosporella_prunicola,Phyllosticta_capitalensis,Phyllosticta_ampelicida,Saccharata_kirstenboschensis,Kellermania_nolinifoliorum,Kellermania_micranthae,Saccharata_hawaiiensis,Saccharata_capensis,Septorioides_pini-thunbergii","0.301073, 0.251783, 0.242067, 0.104293, 0.015516, 0.012176, 0.011788, 0.011579",OTU116,
B12_Otu1066,B12,Otu1066,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Rhytismatales,Rhytismatales,Cudoniaceae,Cudoniaceae,Cudonia,Cudonia,Cudonia_circinans,"0.174345, 0.098106, 0.078070, 0.063535, 0.028267, 0.023526, 0.023495, 0.023487, 0.021082, 0.015961, 0.015538",OTU467,
B12_Otu1067,B12,Otu1067,Ascomycota,Ascomycota,Lichinomycetes,Lichinomycetes,Lichinales,Lichinales,Peltulaceae,Peltulaceae,Peltula,Peltula,Peltula_umbilicata,"0.053013, 0.046364, 0.046145, 0.040028, 0.037026, 0.031708, 0.031071, 0.030565, 0.030441, 0.024129, 0.023954",OTU1067,
B12_Otu1073,B12,Otu1073,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,unclassified,unclassified,unclassified,unclassified,Cryomyces,Cryomyces,"Cryomyces_sp_montanus,Cryomyces_antarcticus","0.050946, 0.049117, 0.041553, 0.037431, 0.037403, 0.028996, 0.028985, 0.028901, 0.028530, 0.023271, 0.022622",OTU702,
B12_Otu1092,B12,Otu1092,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.601287, 0.051732, 0.030830, 0.030404, 0.030124, 0.023672, 0.023352, 0.017251, 0.014511, 0.011903, 0.010965",OTU139,
B12_Otu1097,B12,Otu1097,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,"Dothideales,unclassified",Dothideaceae,"Dothideaceae,Dothioraceae,unclassified",Dothidea,"Dothidea,Dothiora,unclassified,Delphinella,Sydowia,Neocylindroseptoria,Stylodothis","Dothideomycetes_sp_TRN11,Delphinella_strobiligena,Sydowia_polyspora,Dothiora_ceratoniae,Neocylindroseptoria_pistaciae,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci,Dothidea_hippophaeos,Dothidea_insculpta,Dothiora_cannabinae","0.032104, 0.031584, 0.023753, 0.022928, 0.022921, 0.022921, 0.022921, 0.022921, 0.022921, 0.022916, 0.022916",OTU1041,
B12_Otu110,B12,Otu110,Ascomycota,Ascomycota,Orbiliomycetes,Orbiliomycetes,Orbiliales,Orbiliales,Orbiliaceae,Orbiliaceae,Arthrobotrys,"Arthrobotrys,Dactylellina,Drechslerella,Orbilia","Dactylellina_haptotyla,Arthrobotrys_elegans,Arthrobotrys_gephyropaga,Arthrobotrys_pyriformis,Arthrobotrys_superba,Drechslerella_dactyloides,Drechslerella_brochopaga,Dactylellina_ellipsospora,Orbilia_auricolor,Orbilia_vinosa,Arthrobotrys_conoides","0.204241, 0.204150, 0.204052, 0.061357, 0.034882, 0.033279, 0.031415, 0.020747, 0.014576, 0.014256, 0.012772",OTU160,
B12_Otu114,B12,Otu114,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Phyllostictaceae,"Phyllostictaceae,Planistromellaceae,Aplosporellaceae",Phyllosticta,"Phyllosticta,Kellermania,Aplosporella","Kellermania_confusa,Phyllosticta_abieticola,Kellermania_dasylirionicola,Aplosporella_prunicola,Phyllosticta_ampelicida,Kellermania_nolinifoliorum,Kellermania_micranthae,Phyllosticta_beaumarisii,Phyllosticta_philoprina,Phyllosticta_capitalensis,Phyllosticta_elongata","0.337709, 0.315027, 0.307762",OTU892,
B12_Otu1157,B12,Otu1157,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,unclassified,unclassified,unclassified,unclassified,Cryomyces,Cryomyces,"Cryomyces_sp_montanus,Cryomyces_antarcticus","0.077307, 0.071930, 0.049864, 0.049734, 0.049144, 0.041383, 0.035042, 0.034028, 0.030818, 0.023508, 0.023490",OTU319,
