Query sequence,Sample name,Otu.95,Most common phylum-level assignment,Phylum-level assignment,Most common class-level assignment,Class-level assignment,Most common order-level assignment,Order-level assignment,Most common family-level assignment,Family-level assignment,Most common Genus-level assignment,Genus-level assignment,Taxon assignment,Likelihood weight,otu,otu_references
M12_Otu521,M12,Otu521,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Sporormiaceae,Sporormiaceae,Westerdykella,"Westerdykella,Preussia","Westerdykella_cylindrica,Preussia_minima","0.168418, 0.162669, 0.065205, 0.061627, 0.061236, 0.053074, 0.052536, 0.047566, 0.037811, 0.033048, 0.029064",OTU500,
M12_Otu545,M12,Otu545,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.238208, 0.122070, 0.096766, 0.094535, 0.049836, 0.044343, 0.040878, 0.039194, 0.016886, 0.016500, 0.016398",OTU573,
M12_Otu548,M12,Otu548,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",unclassified,"unclassified,Extremaceae,Neodevriesiaceae",unclassified,"unclassified,Neodevriesia,Vermiconia,Tripospermum,Petrophila","Neodevriesia_strelitziae,Capnodiales_sp_CCFEE_5502,Vermiconia_foris,Dothideomycetes_sp_TRN152,Dothideomycetes_sp_TRN142,Neodevriesia_agapanthi,Tripospermum_myrti,Capnodiales_sp_A73,Vermiconia_flagrans,Dothideomycetes_sp_TRN153,Petrophila_incerta_1","0.181345, 0.179195, 0.179135, 0.032611, 0.032373, 0.032373, 0.032373, 0.032373, 0.032373, 0.032370, 0.032370",OTU667,
M12_Otu564,M12,Otu564,Ascomycota,Ascomycota,Lecanoromycetes,Lecanoromycetes,Peltigerales,Peltigerales,Collemataceae,"Collemataceae,Placynthiaceae",Leptogium,"Leptogium,Placynthium","Leptogium_cyanescens,Placynthium_nigrum","0.318775, 0.125359, 0.123927, 0.066069, 0.033733, 0.033532, 0.033415, 0.026703, 0.024751, 0.022521, 0.022306",OTU325,
M12_Otu579,M12,Otu579,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Phyllostictaceae,"Phyllostictaceae,Botryosphaeriaceae,Aplosporellaceae",Phyllosticta,"Phyllosticta,Lasiodiplodia,Aplosporella,Guignardia","Phyllosticta_abieticola,Lasiodiplodia_parva,Lasiodiplodia_pseudotheobromae,Aplosporella_prunicola,Phyllosticta_ampelicida,Lasiodiplodia_theobromae,Guignardia_gaultheriae,Phyllosticta_beaumarisii,Phyllosticta_philoprina,Phyllosticta_capitalensis,Phyllosticta_elongata","0.524942, 0.221348, 0.146237, 0.055143, 0.051182",OTU19,
M12_Otu626,M12,Otu626,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Sporormiaceae,Sporormiaceae,Westerdykella,Westerdykella,Westerdykella_cylindrica,"0.272227, 0.222081, 0.221249, 0.062633, 0.043334, 0.041215, 0.040127, 0.036025, 0.031017",OTU1081,
M12_Otu651,M12,Otu651,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Debaryomycetaceae,Debaryomycetaceae,Debaryomyces,Debaryomyces,Debaryomyces_hansenii,"0.242382, 0.045967, 0.037009, 0.026662, 0.023491, 0.022899, 0.022206, 0.022018, 0.021941, 0.021840, 0.016651",OTU767,
M12_Otu653,M12,Otu653,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,Sclerotiniaceae,Sclerotiniaceae,Mitrula,Mitrula,Mitrula_elegans,"0.375829, 0.222566, 0.159631, 0.039779, 0.034955, 0.030112, 0.018055, 0.015043, 0.013659, 0.011570, 0.009430",OTU766,
M12_Otu675,M12,Otu675,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Sporormiaceae,Sporormiaceae,Preussia,Preussia,Preussia_terricola,"0.198790, 0.154929, 0.109833, 0.098652, 0.096663, 0.078391, 0.030052, 0.029666, 0.026929, 0.025419, 0.015999",OTU131,
M12_Otu717,M12,Otu717,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,Sclerotiniaceae,Sclerotiniaceae,Monilinia,"Monilinia,Sclerotinia,Botrytis","Monilinia_fructigena,Sclerotinia_sclerotiorum,Monilinia_fructicola,Botrytis_cinerea,Monilinia_laxa","0.853361, 0.019261, 0.019226, 0.018528, 0.014376, 0.008636, 0.008473, 0.008131, 0.007806",OTU839,
