Tree,Site,Range,total.tip,BIO1,BIO12,forest,dist.closest.forest
LB034,Sunset Trail,MtLemmon,49,10.30949642,751.2663213,pine,30.16750048
LB035,Sunset Trail,MtLemmon,44,10.30949642,751.2663213,pine,30.16750048
LB043,Upper Solders Camp Rd.,MtLemmon,102,10.49815186,741.6707738,pine-Doug fir,29.71175494
LB044,Upper Solders Camp Rd.,MtLemmon,121,10.49815186,741.6707738,pine-Doug fir,29.71175494
LB045,Upper Solders Camp Rd.,MtLemmon,60,10.49815186,741.6707738,pine-Doug fir,29.71175494
LB046,Upper Solders Camp Rd.,MtLemmon,134,10.49815186,741.6707738,pine-Doug fir,29.71175494
LB047,Upper Solders Camp Rd.,MtLemmon,101,10.49815186,741.6707738,pine-Doug fir,29.71175494
LB048,Upper Solders Camp Rd.,MtLemmon,99,10.49815186,741.6707738,pine-Doug fir,29.71175494
M11,M1,MogollonRim,360,8.138696004,652.3248944,pine,0
M12,M1,MogollonRim,667,8.138696004,652.3248944,pine,0
M13,M1,MogollonRim,315,8.138696004,652.3248944,pine,0
M14,M1,MogollonRim,558,8.138696004,652.3248944,pine,0
M15,M1,MogollonRim,770,8.138696004,652.3248944,pine,0
M21,M2,MogollonRim,243,8.066597197,654.5696466,pine,0
M22,M2,MogollonRim,153,8.066597197,654.5696466,pine,0
M23,M2,MogollonRim,161,8.066597197,654.5696466,pine,0
M25,M2,MogollonRim,180,8.066597197,654.5696466,pine,0
M31,M3,MogollonRim,44,8.074092669,655.5913189,pine,0
M32,M3,MogollonRim,275,8.074092669,655.5913189,pine,0
M33,M3,MogollonRim,158,8.074092669,655.5913189,pine,0
M34,M3,MogollonRim,231,8.074092669,655.5913189,pine,0
M35,M3,MogollonRim,186,8.074092669,655.5913189,pine,0
M41,M4,MogollonRim,113,11.20775658,654.4185082,pine-oak,0
M42,M4,MogollonRim,59,11.20775658,654.4185082,pine-oak,0
M43,M4,MogollonRim,102,11.20775658,654.4185082,pine-oak,0
M44,M4,MogollonRim,380,11.20775658,654.4185082,pine-oak,0
M45,M4,MogollonRim,101,11.20775658,654.4185082,pine-oak,0
M51,M5,MogollonRim,65,10.99534131,662.8252,pine-Doug fir,0
M52,M5,MogollonRim,15,10.99534131,662.8252,pine-Doug fir,0
M53,M5,MogollonRim,50,10.99534131,662.8252,pine-Doug fir,0
M54,M5,MogollonRim,70,10.99534131,662.8252,pine-Doug fir,0
M55,M5,MogollonRim,198,10.99534131,662.8252,pine-Doug fir,0
M61,M6,MogollonRim,142,11.21597217,650.1569856,pine-Doug fir,0
M62,M6,MogollonRim,19,11.21597217,650.1569856,pine-Doug fir,0
M63,M6,MogollonRim,124,11.21597217,650.1569856,pine-Doug fir,0
M65,M6,MogollonRim,91,11.21597217,650.1569856,pine-Doug fir,0
M71,M7,MogollonRim,219,8.999242121,559.613088,pine,0
M72,M7,MogollonRim,27,8.999242121,559.613088,pine,0
M73,M7,MogollonRim,45,8.999242121,559.613088,pine,0
M74,M7,MogollonRim,76,8.999242121,559.613088,pine,0
M75,M7,MogollonRim,296,8.999242121,559.613088,pine,0
M81,M8,MogollonRim,13,9.051941924,557.1308467,pine,0
M82,M8,MogollonRim,100,9.051941924,557.1308467,pine,0
M83,M8,MogollonRim,92,9.051941924,557.1308467,pine,0
M84,M8,MogollonRim,126,9.051941924,557.1308467,pine,0
M85,M8,MogollonRim,138,9.051941924,557.1308467,pine,0
M91,M9,MogollonRim,84,9.015847934,556.2820352,pine,0
M92,M9,MogollonRim,144,9.015847934,556.2820352,pine,0
M93,M9,MogollonRim,70,9.015847934,556.2820352,pine,0
M94,M9,MogollonRim,83,9.015847934,556.2820352,pine,0
M95,M9,MogollonRim,7,9.015847934,556.2820352,pine,0
N13,N1,Mingus,13,8.64789879,661.4616486,pine,42.10864773
N14,N1,Mingus,85,8.64789879,661.4616486,pine,42.10864773
N15,N1,Mingus,42,8.64789879,661.4616486,pine,42.10864773
N21,N2,Mingus,15,8.846722667,660.1437411,pine,41.61580352
N22,N2,Mingus,115,8.846722667,660.1437411,pine,41.61580352
N23,N2,Mingus,2,8.846722667,660.1437411,pine,41.61580352
N24,N2,Mingus,30,8.846722667,660.1437411,pine,41.61580352
N25,N2,Mingus,249,8.846722667,660.1437411,pine,41.61580352
N31,N3,Mingus,194,8.633623815,662.3543784,pine,41.56598677
N32,N3,Mingus,210,8.633623815,662.3543784,pine,41.56598677
N33,N3,Mingus,47,8.633623815,662.3543784,pine,41.56598677
N34,N3,Mingus,61,8.633623815,662.3543784,pine,41.56598677
N35,N3,Mingus,84,8.633623815,662.3543784,pine,41.56598677
P11,P1,Pinaleno,193,9.212201894,689.0031923,pine-Doug fir,44.20454408
P12,P1,Pinaleno,413,9.212201894,689.0031923,pine-Doug fir,44.20454408
P13,P1,Pinaleno,437,9.212201894,689.0031923,pine-Doug fir,44.20454408
P14,P1,Pinaleno,515,9.212201894,689.0031923,pine-Doug fir,44.20454408
P15,P1,Pinaleno,329,9.212201894,689.0031923,pine-Doug fir,44.20454408
P21,P2,Pinaleno,83,9.212364955,707.127759,pine-Doug fir,44.89789319
P22,P2,Pinaleno,99,9.212364955,707.127759,pine-Doug fir,44.89789319
P23,P2,Pinaleno,85,9.212364955,707.127759,pine-Doug fir,44.89789319
P24,P2,Pinaleno,220,9.212364955,707.127759,pine-Doug fir,44.89789319
P25,P2,Pinaleno,82,9.212364955,707.127759,pine-Doug fir,44.89789319
P31,P3,Pinaleno,54,9.068933478,712.7599997,pine,44.27102289
P32,P3,Pinaleno,203,9.068933478,712.7599997,pine,44.27102289
P33,P3,Pinaleno,236,9.068933478,712.7599997,pine,44.27102289
P34,P3,Pinaleno,44,9.068933478,712.7599997,pine,44.27102289
P35,P3,Pinaleno,86,9.068933478,712.7599997,pine,44.27102289
