Site,range,lat,dist.cont,dist.closest.site,dist.closest.forest,BIO1,BIO7,BIO12,BIO16,BIO17,forest,env.pca,clim.pca,OTU,count,Class.TBAS,Class.Blast
C1,Chiricahua,31.91445,377.5575315,94.46849,95.29621786,9.442872175,31.26301068,644.967728,319.9647776,51.9726592,pine,0.154920146,0.533684337,Otu11,1,Dothideomycetes,NA
C3,Chiricahua,31.9061,377.8973058,94.46849,95.67591477,9.184048078,30.5838028,665.1683584,328.9918976,54.0120448,pine-Doug fir,0.800261247,0.483493031,Otu718,1,Leotiomycetes,NA
H1,Huachuca,31.4533,378.1461492,114.3,54.78664003,12.58816371,29.90639964,649.8687808,330.7955808,43.52,pine-Doug fir,3.000831425,2.744826203,Otu718,1,Leotiomycetes,NA
M3,MogollonRim,34.50171,35.95754316,16.157814,0,8.074092669,37.58792467,655.5913189,233.5363566,61,pine,-2.101814545,-1.877165706,Otu718,1,Leotiomycetes,NA
B1,Bradshaw,34.41944,89.87274476,42.16481,42.16481,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,pine-Doug fir,-0.535773714,-1.072355897,Otu28,1,Dothideomycetes,NA
M1,MogollonRim,34.51059,35.31552373,16.157814,0,8.138696004,37.55118083,652.3248944,232.4584,61.0760944,pine,-2.110470685,-1.893430034,Otu6,1,NA,NA
P2,Pinaleno,32.62231,283.1459416,88.5,44.89789319,9.212364955,29.43149457,707.127759,320.1048406,55.79290368,pine-Doug fir,0.733419131,0.487209552,Otu169,1,Dothideomycetes,Dothideomycetes
H2,Huachuca,31.453,378.239254,114.3,54.97644841,12.51848908,29.78958206,654.255312,332.528472,43.981392,pine-Doug fir,2.970852731,2.72397948,Otu76,1,Dothideomycetes,NA
H3,Huachuca,31.45207,378.404379,114.3,55.21583786,12.37364821,29.57723945,663.2688106,336.0048034,44.91240096,pine-Doug fir,2.90922932,2.681024424,Otu76,1,Dothideomycetes,NA
B3,Bradshaw,34.42161,89.50882703,42.16481,42.16481,9.237270651,32.42859891,620.072076,240.8144152,55.9068,pine-Doug fir,-0.530478894,-1.07501483,Otu247,1,Dothideomycetes,NA
C1,Chiricahua,31.91445,377.5575315,94.46849,95.29621786,9.442872175,31.26301068,644.967728,319.9647776,51.9726592,pine,0.154920146,0.533684337,Otu247,1,Dothideomycetes,NA
H1,Huachuca,31.4533,378.1461492,114.3,54.78664003,12.58816371,29.90639964,649.8687808,330.7955808,43.52,pine-Doug fir,3.000831425,2.744826203,Otu247,1,Dothideomycetes,NA
B1,Bradshaw,34.41944,89.87274476,42.16481,42.16481,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,pine-Doug fir,-0.535773714,-1.072355897,Otu131,1,Lichinomycetes,NA
H3,Huachuca,31.45207,378.404379,114.3,55.21583786,12.37364821,29.57723945,663.2688106,336.0048034,44.91240096,pine-Doug fir,2.90922932,2.681024424,Otu131,1,Lichinomycetes,NA
B1,Bradshaw,34.41944,89.87274476,42.16481,42.16481,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,pine-Doug fir,-0.535773714,-1.072355897,Otu907,1,Lecanoromycetes,NA
H1,Huachuca,31.4533,378.1461492,114.3,54.78664003,12.58816371,29.90639964,649.8687808,330.7955808,43.52,pine-Doug fir,3.000831425,2.744826203,Otu907,1,Lecanoromycetes,NA
H3,Huachuca,31.45207,378.404379,114.3,55.21583786,12.37364821,29.57723945,663.2688106,336.0048034,44.91240096,pine-Doug fir,2.90922932,2.681024424,Otu907,1,Lecanoromycetes,NA
P2,Pinaleno,32.62231,283.1459416,88.5,44.89789319,9.212364955,29.43149457,707.127759,320.1048406,55.79290368,pine-Doug fir,0.733419131,0.487209552,Otu907,1,Lecanoromycetes,NA
P1,Pinaleno,32.62996,282.3457488,88.5,44.20454408,9.212201894,30.39460051,689.0031923,311.5263974,54.4776,pine-Doug fir,0.678323572,0.385617355,Otu789,1,Saccharomycetes,NA
B2,Bradshaw,34.41424,90.12469198,42.16481,42.16481,9.21611338,31.93765876,628.5602182,242.7269091,56.7912,pine-Doug fir,-0.560589713,-1.087600193,Otu156,1,Saccharomycetes,NA
Sunset Trail,Santa.Catalina,32.42673,263.5924846,88.5,30.16750048,10.30949642,29.27837781,751.2663213,329.4949821,54.05577856,pine,0.865104697,1.489996579,Otu156,1,Saccharomycetes,NA
H2,Huachuca,31.453,378.239254,114.3,54.97644841,12.51848908,29.78958206,654.255312,332.528472,43.981392,pine-Doug fir,2.970852731,2.72397948,Otu119,1,Lecanoromycetes,Lecanoromycetes
M2,MogollonRim,34.50509,35.64753928,16.157814,0,8.066597197,37.50015069,654.5696466,233.7784,61.00604656,pine,-2.106980972,-1.884283966,Otu88,1,Dothideomycetes,NA
P1,Pinaleno,32.62996,282.3457488,88.5,44.20454408,9.212201894,30.39460051,689.0031923,311.5263974,54.4776,pine-Doug fir,0.678323572,0.385617355,Otu26,1,Dothideomycetes,Arthoniomycetes
C2,Chiricahua,31.90948,377.7694222,94.46849,95.53016385,9.300589515,30.90384584,655.7959168,324.7645952,53.0432896,pine,0.104228839,0.50700601,Otu369,1,Eurotiomycetes,Eurotiomycetes
P1,Pinaleno,32.62996,282.3457488,88.5,44.20454408,9.212201894,30.39460051,689.0031923,311.5263974,54.4776,pine-Doug fir,0.678323572,0.385617355,Otu244,1,Dothideomycetes,Dothideomycetes
B1,Bradshaw,34.41944,89.87274476,42.16481,42.16481,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,pine-Doug fir,-0.535773714,-1.072355897,Otu224,1,Dothideomycetes,NA
N2,Mingus,34.69063,61.65131516,42.16481,41.61580352,8.846722667,32.59809506,660.1437411,240.8521994,64.08482848,pine,-1.98764995,-1.739596688,Otu913,1,Leotiomycetes,NA
C3,Chiricahua,31.9061,377.8973058,94.46849,95.67591477,9.184048078,30.5838028,665.1683584,328.9918976,54.0120448,pine-Doug fir,0.800261247,0.483493031,Otu122,1,Saccharomycetes,NA
H1,Huachuca,31.4533,378.1461492,114.3,54.78664003,12.58816371,29.90639964,649.8687808,330.7955808,43.52,pine-Doug fir,3.000831425,2.744826203,Otu122,1,Saccharomycetes,NA
M2,MogollonRim,34.50509,35.64753928,16.157814,0,8.066597197,37.50015069,654.5696466,233.7784,61.00604656,pine,-2.106980972,-1.884283966,Otu122,1,Saccharomycetes,NA
Sunset Trail,Santa.Catalina,32.42673,263.5924846,88.5,30.16750048,10.30949642,29.27837781,751.2663213,329.4949821,54.05577856,pine,0.865104697,1.489996579,Otu122,1,Saccharomycetes,NA
H3,Huachuca,31.45207,378.404379,114.3,55.21583786,12.37364821,29.57723945,663.2688106,336.0048034,44.91240096,pine-Doug fir,2.90922932,2.681024424,Otu240,1,Dothideomycetes,NA
P1,Pinaleno,32.62996,282.3457488,88.5,44.20454408,9.212201894,30.39460051,689.0031923,311.5263974,54.4776,pine-Doug fir,0.678323572,0.385617355,Otu97,1,Dothideomycetes,NA
N3,Mingus,34.69547,62.05212915,42.16481,41.56598677,8.633623815,32.55756091,662.3543784,241.9359952,63.0551976,pine,-1.953202048,-1.699237337,Otu914,1,Leotiomycetes,NA
B2,Bradshaw,34.41424,90.12469198,42.16481,42.16481,9.21611338,31.93765876,628.5602182,242.7269091,56.7912,pine-Doug fir,-0.560589713,-1.087600193,Otu341,1,Arthoniomycetes,NA
B1,Bradshaw,34.41944,89.87274476,42.16481,42.16481,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,pine-Doug fir,-0.535773714,-1.072355897,Otu588,1,Saccharomycetes,NA
B1,Bradshaw,34.41944,89.87274476,42.16481,42.16481,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,pine-Doug fir,-0.535773714,-1.072355897,Otu386,1,Dothideomycetes,NA
P2,Pinaleno,32.62231,283.1459416,88.5,44.89789319,9.212364955,29.43149457,707.127759,320.1048406,55.79290368,pine-Doug fir,0.733419131,0.487209552,Otu402,1,Dothideomycetes,Leotiomycetes
C1,Chiricahua,31.91445,377.5575315,94.46849,95.29621786,9.442872175,31.26301068,644.967728,319.9647776,51.9726592,pine,0.154920146,0.533684337,Otu1166,1,Dothideomycetes,Dothideomycetes
C2,Chiricahua,31.90948,377.7694222,94.46849,95.53016385,9.300589515,30.90384584,655.7959168,324.7645952,53.0432896,pine,0.104228839,0.50700601,Otu1166,1,Dothideomycetes,Dothideomycetes
M1,MogollonRim,34.51059,35.31552373,16.157814,0,8.138696004,37.55118083,652.3248944,232.4584,61.0760944,pine,-2.110470685,-1.893430034,Otu1166,1,Dothideomycetes,Dothideomycetes
B1,Bradshaw,34.41944,89.87274476,42.16481,42.16481,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,pine-Doug fir,-0.535773714,-1.072355897,Otu2,1,Lichinomycetes,Eurotiomycetes
B3,Bradshaw,34.42161,89.50882703,42.16481,42.16481,9.237270651,32.42859891,620.072076,240.8144152,55.9068,pine-Doug fir,-0.530478894,-1.07501483,Otu2,1,Lichinomycetes,Eurotiomycetes
P2,Pinaleno,32.62231,283.1459416,88.5,44.89789319,9.212364955,29.43149457,707.127759,320.1048406,55.79290368,pine-Doug fir,0.733419131,0.487209552,Otu2,1,Lichinomycetes,Eurotiomycetes
Upper Solders Camp Rd.,Santa.Catalina,32.42644,263.8268864,88.5,29.71175494,10.49815186,29.5796078,741.6707738,325.0419635,52.92347008,pine-Doug fir,1.688678776,1.55322257,Otu2,1,Lichinomycetes,Eurotiomycetes
B2,Bradshaw,34.41424,90.12469198,42.16481,42.16481,9.21611338,31.93765876,628.5602182,242.7269091,56.7912,pine-Doug fir,-0.560589713,-1.087600193,Otu197,1,Sordariomycetes,NA
H3,Huachuca,31.45207,378.404379,114.3,55.21583786,12.37364821,29.57723945,663.2688106,336.0048034,44.91240096,pine-Doug fir,2.90922932,2.681024424,Otu507,1,Dothideomycetes,NA
B3,Bradshaw,34.42161,89.50882703,42.16481,42.16481,9.237270651,32.42859891,620.072076,240.8144152,55.9068,pine-Doug fir,-0.530478894,-1.07501483,Otu35,1,Lecanoromycetes,NA
Sunset Trail,Santa.Catalina,32.42673,263.5924846,88.5,30.16750048,10.30949642,29.27837781,751.2663213,329.4949821,54.05577856,pine,0.865104697,1.489996579,Otu35,1,Lecanoromycetes,NA
B2,Bradshaw,34.41424,90.12469198,42.16481,42.16481,9.21611338,31.93765876,628.5602182,242.7269091,56.7912,pine-Doug fir,-0.560589713,-1.087600193,Otu92,1,Dothideomycetes,Dothideomycetes
H1,Huachuca,31.4533,378.1461492,114.3,54.78664003,12.58816371,29.90639964,649.8687808,330.7955808,43.52,pine-Doug fir,3.000831425,2.744826203,Otu92,1,Dothideomycetes,Dothideomycetes
B1,Bradshaw,34.41944,89.87274476,42.16481,42.16481,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,pine-Doug fir,-0.535773714,-1.072355897,Otu209,1,Dothideomycetes,NA
M2,MogollonRim,34.50509,35.64753928,16.157814,0,8.066597197,37.50015069,654.5696466,233.7784,61.00604656,pine,-2.106980972,-1.884283966,Otu209,1,Dothideomycetes,NA
H2,Huachuca,31.453,378.239254,114.3,54.97644841,12.51848908,29.78958206,654.255312,332.528472,43.981392,pine-Doug fir,2.970852731,2.72397948,Otu523,1,Dothideomycetes,NA
B3,Bradshaw,34.42161,89.50882703,42.16481,42.16481,9.237270651,32.42859891,620.072076,240.8144152,55.9068,pine-Doug fir,-0.530478894,-1.07501483,Otu203,1,Leotiomycetes,NA
B1,Bradshaw,34.41944,89.87274476,42.16481,42.16481,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,pine-Doug fir,-0.535773714,-1.072355897,Otu538,1,Dothideomycetes,NA
M2,MogollonRim,34.50509,35.64753928,16.157814,0,8.066597197,37.50015069,654.5696466,233.7784,61.00604656,pine,-2.106980972,-1.884283966,Otu25,1,Saccharomycetes,NA
B2,Bradshaw,34.41424,90.12469198,42.16481,42.16481,9.21611338,31.93765876,628.5602182,242.7269091,56.7912,pine-Doug fir,-0.560589713,-1.087600193,Otu142,1,Sordariomycetes,Taphrinomycetes
